rxn_IDs	rxnNames	slope	grRules	rxn_formula
r_0024_EXP_1	2-isopropylmalate synthase	0.0061850246419635	YNL104C	3-methyl-2-oxobutanoate[c] + acetyl-CoA[c] + H2O[c] + 0.95731 prot_pool[c] => 2-isopropylmalate[c] + coenzyme A[c] + H+[c]
r_0502	glycine hydroxymethyltransferase	0.00581666940531226	YLR058C	L-serine[c] + THF[c] + 0.017869 prot_pool[c] => 5,10-methylenetetrahydrofolate[c] + H2O[c] + L-glycine[c]
r_0042_EXP_2	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	0.00562660978312289	YDR035W	D-erythrose 4-phosphate[c] + H2O[c] + phosphoenolpyruvate[c] + 0.0081818 prot_pool[c] => 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid[c] + phosphate[c]
r_0032	3',5'-bisphosphate nucleotidase	0.00480781133625671	YOL064C	adenosine 3',5'-bismonophosphate[c] + H2O[c] + 4.5008 prot_pool[c] => AMP[c] + phosphate[c]
r_0510_EXP_2	glycogen (starch) synthase	0.0042997284030981	YFR015C and YKR058W	UDP-D-glucose[c] + 0.016013 prot_pool[c] => glycogen[c] + H+[c] + UDP[c]
r_0479	glutamyl-tRNA synthetase	0.00417660434134487	YGL245W	ATP[c] + L-glutamate[c] + tRNA(Glu)[c] + 4.2164 prot_pool[c] => AMP[c] + diphosphate[c] + Glu-tRNA(Glu)[c]
r_0220	Aspartyl-tRNA synthetase	0.00411709675105642	YLL018C	ATP[c] + L-aspartate[c] + tRNA(Asp)[c] + 1.2987 prot_pool[c] => AMP[c] + Asp-tRNA(Asp)[c] + diphosphate[c]
r_0023_REV	2-isopropylmalate hydratase (reversible)	0.00410187382157326	YGL009C	2-isopropylmalate[c] + 9.656 prot_pool[c] => 2-isopropylmaleic acid[c] + H2O[c]
r_0060_REV	3-isopropylmalate dehydratase (reversible)	0.00410187382157326	YGL009C	2-isopropylmaleic acid[c] + H2O[c] + 4.4058 prot_pool[c] => (2R,3S)-3-isopropylmalate[c]
r_0061	3-isopropylmalate dehydrogenase	0.00410187382157326	YCL018W	(2R,3S)-3-isopropylmalate[c] + NAD[c] + 0.13104 prot_pool[c] => (2S)-2-isopropyl-3-oxosuccinate[c] + H+[c] + NADH[c]
r_0701	leucyl-tRNA synthetase	0.00410187382157326	YPL160W	ATP[c] + L-leucine[c] + tRNA(Leu)[c] + 0.29043 prot_pool[c] => AMP[c] + diphosphate[c] + Leu-tRNA(Leu)[c]
r_0699_REV	leucine transaminase (reversible)	0.00410187382157326	YJR148W	4-methyl-2-oxopentanoate[c] + L-glutamate[c] + 0.25907 prot_pool[c] => 2-oxoglutarate[c] + L-leucine[c]
r_0512_EXP_2	glycyl-tRNA synthetase	0.00401883977323801	YPR081C	ATP[c] + L-glycine[c] + tRNA(Gly)[c] + 1.2407 prot_pool[c] => AMP[c] + diphosphate[c] + Gly-tRNA(Gly)[c]
r_4680_EXP_2	alcohol acyltransferase (propionyl-CoA)	0.00401615543543259	YPL095C	ethanol[m] + propionyl-CoA[m] + 1.3854 prot_pool[c] => coenzyme A[m] + ethyl propionate[m]
r_0156	alanine glyoxylate aminotransferase	0.00401551682385092	YFL030W	glyoxylate[c] + L-alanine[c] + 0.057858 prot_pool[c] => L-glycine[c] + pyruvate[c]
r_0334	dephospho-CoA kinase	0.00401539634616031	YDR196C	3'-dephospho-CoA[m] + ATP[m] + 46.8907 prot_pool[c] => ADP[m] + coenzyme A[m] + H+[m]
r_0119	acyl carrier protein synthase	0.00401252218118188	YPL148C	coenzyme A[m] + H2O[m] + 0.90071 prot_pool[c] => adenosine 3',5'-bismonophosphate[m] + 2 H+[m] + pantetheine 4'-phosphate[m]
r_0916_EXP_1	phosphoribosylpyrophosphate synthetase	0.00398291287202386	YKL181W and YER099C	ATP[c] + ribose-5-phosphate[c] + 5.2395 prot_pool[c] => AMP[c] + H+[c] + PRPP[c]
r_0018_EXP_1	2-aminoadipate transaminase	0.00396071589815997	YER152C	2-oxoadipic acid[c] + L-glutamate[c] + 0.00051332 prot_pool[c] => 2-oxoglutarate[c] + L-2-aminoadipate[c]
r_0678	L-aminoadipate-semialdehyde dehydrogenase (NADPH)	0.00396071589815997	YBR115C and YGL154C	ATP[c] + H+[c] + L-2-aminoadipate[c] + NADPH[c] + 2.8783 prot_pool[c] => AMP[c] + diphosphate[c] + L-allysine[c] + NADP(+)[c]
r_0988	saccharopine dehydrogenase (NAD, L-lysine forming)	0.00396071589815997	YIR034C	H2O[c] + L-saccharopine[c] + NAD[c] + 0.27884 prot_pool[c] => 2-oxoglutarate[c] + H+[c] + L-lysine[c] + NADH[c]
r_0989	saccharopine dehydrogenase (NADP, L-glutamate forming)	0.00396071589815997	YNR050C	H+[c] + L-allysine[c] + L-glutamate[c] + NADPH[c] + 0.099857 prot_pool[c] => H2O[c] + L-saccharopine[c] + NADP(+)[c]
r_0027	2-methylcitrate dehydratase	0.00396071589815997	YDR234W	homocitrate[m] + 14.7876 prot_pool[c] => but-1-ene-1,2,4-tricarboxylic acid[m] + H2O[m]
r_0542_EXP_1	homoacontinate hydratase	0.00396071589815997	YJL200C	but-1-ene-1,2,4-tricarboxylic acid[m] + H2O[m] + 4.018 prot_pool[c] => homoisocitrate[m]
r_0545	homoisocitrate dehydrogenase	0.00396071589815997	YIL094C	homoisocitrate[m] + NAD[m] + 2.0568 prot_pool[c] => 2-oxoadipic acid[m] + carbon dioxide[m] + NADH[m]
r_0711	lysyl-tRNA synthetase	0.00396071589815997	YDR037W	ATP[c] + L-lysine[c] + tRNA(Lys)[c] + 0.44545 prot_pool[c] => AMP[c] + diphosphate[c] + Lys-tRNA(Lys)[c]
r_1838_EXP_1	homocitrate synthase	0.00396071589815997	YDL131W	2-oxoglutarate[m] + acetyl-CoA[m] + H2O[m] + 12.6868 prot_pool[c] => coenzyme A[m] + H+[m] + homocitrate[m]
