rxn_IDs	rxnNames	slope	grRules	rxn_formula
r_0352	dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)	0.543183040785016	YJR016C	(R)-2,3-dihydroxy-3-methylbutanoate[m] + 0.42359 prot_pool[c] => 3-methyl-2-oxobutanoate[m] + H2O[m]
r_0096	acetohydroxy acid isomeroreductase	0.543183040785016	YLR355C	2-acetyllactic acid[m] + H+[m] + NADPH[m] + 0.67347 prot_pool[c] => (R)-2,3-dihydroxy-3-methylbutanoate[m] + NADP(+)[m]
r_0097	acetolactate synthase	0.543183040785016	(YCL009C and YMR108W) or YMR108W	H+[m] + 2 pyruvate[m] + 0.062796 prot_pool[c] => 2-acetyllactic acid[m] + carbon dioxide[m]
r_1088_REV	valine transaminase, mitochondiral (reversible)	0.543004644308389	YHR208W	3-methyl-2-oxobutanoate[m] + L-glutamate[m] + 0.0057725 prot_pool[c] => 2-oxoglutarate[m] + L-valine[m]
r_0157	alanyl-tRNA synthetase	0.444082915746149	YOR335C	ATP[c] + L-alanine[c] + tRNA(Ala)[c] + 0.091574 prot_pool[c] => Ala-tRNA(Ala)[c] + AMP[c] + diphosphate[c]
r_0502	glycine hydroxymethyltransferase	0.406923088959438	YLR058C	L-serine[c] + THF[c] + 0.017869 prot_pool[c] => 5,10-methylenetetrahydrofolate[c] + H2O[c] + L-glycine[c]
r_4570_REV	phosphoglycerate dehydrogenase (reversible)	0.386805136847345	YIL074C or YER081W	2-oxoglutarate[c] + H+[c] + NADH[c] + 0.002302 prot_pool[c] => NAD[c] + 2-hydroxyglutarate[c]
r_0510	glycogen (starch) synthase	0.300730592315902	(YFR015C and YJL137C) or (YFR015C and YKR058W) or (YJL137C and YLR258W) or (YKR058W and YLR258W)	UDP-D-glucose[c] + 0.016013 prot_pool[c] => glycogen[c] + H+[c] + UDP[c]
r_0479	glutamyl-tRNA synthetase	0.292119078157773	YGL245W	ATP[c] + L-glutamate[c] + tRNA(Glu)[c] + 4.2164 prot_pool[c] => AMP[c] + diphosphate[c] + Glu-tRNA(Glu)[c]
r_0220	Aspartyl-tRNA synthetase	0.28795701227895	YLL018C	ATP[c] + L-aspartate[c] + tRNA(Asp)[c] + 1.2987 prot_pool[c] => AMP[c] + Asp-tRNA(Asp)[c] + diphosphate[c]
r_1087	valine transaminase	0.286892293726738	YJR148W	2-oxoglutarate[c] + L-valine[c] + 0.0054601 prot_pool[c] => 3-methyl-2-oxobutanoate[c] + L-glutamate[c]
r_0699_REV	leucine transaminase (reversible)	0.286892293726738	YJR148W	4-methyl-2-oxopentanoate[c] + L-glutamate[c] + 0.25907 prot_pool[c] => 2-oxoglutarate[c] + L-leucine[c]
r_0023_REV	2-isopropylmalate hydratase (reversible)	0.286892293726738	YGL009C	2-isopropylmalate[c] + 9.656 prot_pool[c] => 2-isopropylmaleic acid[c] + H2O[c]
r_0024	2-isopropylmalate synthase	0.286892293726738	YNL104C or YOR108W	3-methyl-2-oxobutanoate[c] + acetyl-CoA[c] + H2O[c] + 0.95731 prot_pool[c] => 2-isopropylmalate[c] + coenzyme A[c] + H+[c]
r_0060_REV	3-isopropylmalate dehydratase (reversible)	0.286892293726738	YGL009C	2-isopropylmaleic acid[c] + H2O[c] + 4.4058 prot_pool[c] => (2R,3S)-3-isopropylmalate[c]
r_0061	3-isopropylmalate dehydrogenase	0.286892293726738	YCL018W	(2R,3S)-3-isopropylmalate[c] + NAD[c] + 0.13104 prot_pool[c] => (2S)-2-isopropyl-3-oxosuccinate[c] + H+[c] + NADH[c]
r_0701	leucyl-tRNA synthetase	0.286892293726738	YPL160W	ATP[c] + L-leucine[c] + tRNA(Leu)[c] + 0.29043 prot_pool[c] => AMP[c] + diphosphate[c] + Leu-tRNA(Leu)[c]
r_0512	glycyl-tRNA synthetase	0.281084745854585	YBR121C or YPR081C	ATP[c] + L-glycine[c] + tRNA(Gly)[c] + 1.2407 prot_pool[c] => AMP[c] + diphosphate[c] + Gly-tRNA(Gly)[c]
r_0916	phosphoribosylpyrophosphate synthetase	0.278590249426947	(YKL181W and YER099C) or (YKL181W and YHL011C) or (YKL181W and YBL068W) or (YER099C and YOL061W) or (YBL068W and YOL061W)	ATP[c] + ribose-5-phosphate[c] + 5.2395 prot_pool[c] => AMP[c] + H+[c] + PRPP[c]
r_0711	lysyl-tRNA synthetase	0.277019459459445	YDR037W	ATP[c] + L-lysine[c] + tRNA(Lys)[c] + 0.44545 prot_pool[c] => AMP[c] + diphosphate[c] + Lys-tRNA(Lys)[c]
r_0988	saccharopine dehydrogenase (NAD, L-lysine forming)	0.277019459459445	YIR034C	H2O[c] + L-saccharopine[c] + NAD[c] + 0.27884 prot_pool[c] => 2-oxoglutarate[c] + H+[c] + L-lysine[c] + NADH[c]
r_0678	L-aminoadipate-semialdehyde dehydrogenase (NADPH)	0.277019459459445	YBR115C and YGL154C	ATP[c] + H+[c] + L-2-aminoadipate[c] + NADPH[c] + 2.8783 prot_pool[c] => AMP[c] + diphosphate[c] + L-allysine[c] + NADP(+)[c]
r_0989	saccharopine dehydrogenase (NADP, L-glutamate forming)	0.277019459459445	YNR050C	H+[c] + L-allysine[c] + L-glutamate[c] + NADPH[c] + 0.099857 prot_pool[c] => H2O[c] + L-saccharopine[c] + NADP(+)[c]
r_1838	homocitrate synthase	0.277019459459445	YDL131W or YDL182W	2-oxoglutarate[m] + acetyl-CoA[m] + H2O[m] + 12.6868 prot_pool[c] => coenzyme A[m] + H+[m] + homocitrate[m]
r_0018	2-aminoadipate transaminase	0.277019459459444	YER152C or YGL202W or YJL060W	2-oxoadipic acid[c] + L-glutamate[c] + 0.00051332 prot_pool[c] => 2-oxoglutarate[c] + L-2-aminoadipate[c]
r_0027	2-methylcitrate dehydratase	0.277019459459444	YDR234W	homocitrate[m] + 14.7876 prot_pool[c] => but-1-ene-1,2,4-tricarboxylic acid[m] + H2O[m]
r_0542	homoacontinate hydratase	0.277019459459444	YJL200C or YDR234W	but-1-ene-1,2,4-tricarboxylic acid[m] + H2O[m] + 4.018 prot_pool[c] => homoisocitrate[m]
r_0545	homoisocitrate dehydrogenase	0.277019459459444	YIL094C	homoisocitrate[m] + NAD[m] + 2.0568 prot_pool[c] => 2-oxoadipic acid[m] + carbon dioxide[m] + NADH[m]
r_0452	fumarase, cytoplasmic	0.261490728514397	YPL262W	fumarate[c] + H2O[c] + 0.014265 prot_pool[c] => (S)-malate[c]
r_1089	valyl-tRNA synthetase	0.256112350581651	YGR094W	ATP[c] + L-valine[c] + tRNA(Val)[c] + 0.39857 prot_pool[c] => AMP[c] + diphosphate[c] + Val-tRNA(Val)[c]
