(-)-Ureidoglycolate	NC(=O)N[C@@H](O)C(=O)[O-]	NWZYYCVIOKVTII-SFOWXEAESA-M
1,2-dioctadec-11-enoyl-sn-glycerol 3-phosphate	CCCCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)([O-])O)OC(=O)CCCCCCCCCC=CCCCCCC	LMYYBYHAZAFVTR-UHFFFAOYSA-M
1,2-dioctadecanoyl-sn-glycerol 3-phosphate	CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])[O-])OC(=O)CCCCCCCCCCCCCCCCC	YFWHNAWEOZTIPI-DIPNUNPCSA-L
1,2-ditetradec-7-enoyl-sn-glycerol 3-phosphate	CCCCCCC=CCCCCCC(=O)OCC(COP(=O)([O-])O)OC(=O)CCCCCC=CCCCCCC	YHCODXWOEMUSCB-UHFFFAOYSA-M
1,2-ditetradecanoyl-sn-glycerol 3-phosphate	CCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)O)OC(=O)CCCCCCCCCCCCC	OZSITQMWYBNPMW-UHFFFAOYSA-N
1,3-Propanediol	OCCCO	YPFDHNVEDLHUCE-UHFFFAOYSA-N
1,4-Dihydroxy-2-naphthoate	O=C([O-])c1cc(O)c2ccccc2c1O	VOJUXHHACRXLTD-UHFFFAOYSA-M
1,4-alpha-D-glucan	C(C1C(C(C(C(O1)O)O)O)O)O	WQZGKKKJIJFFOK-DVKNGEFBSA-N
1,5-Diaminopentane	[NH3+]CCCCC[NH3+]	VHRGRCVQAFMJIZ-UHFFFAOYSA-P
1,6-anhydrous-N-Acetylmuramate	CC(=O)NC1=COC(CO)C(O)C1OC(C)C(=O)[O-]	YZQRHTIZHFFIAX-UHFFFAOYSA-M
1,6-anhydrous-N-Acetylmuramyl-tetrapeptide	CC(C(=O)NC(CCC(=O)O)C(=O)NC(CCCC(C(=O)O)N)C(=O)NC(C)C(=O)O)NC(=O)C(C)OC1C(COC(C1O)CO)NC(=O)C	OUWAMZWZTFUVMV-VJIOXTGUSA-N
1,6-anhydrous-N-Acetylmuramyl-tripeptide	CC(C(=O)NC(CCC(=O)O)C(=O)NC(CCCC(C(=O)O)N)C(=O)O)NC(=O)C(C)OC1C(COC(C1O)CO)NC(=O)C	KGVLFEPQSVUIRC-FYQNUYSYSA-N
1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate	O=C([O-])c1ccccc1NCC(=O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]	QKMBYNRMPRKVTO-MNOVXSKESA-K
1-(5-Phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide	NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1/N=C/N[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O	QOUSHGMTBIIAHR-KEOHHSTQSA-J
1-(5-Phosphoribosyl)-AMP	N=c1c2ncn([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2ncn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O	RTQMRTSPTLIIHM-KEOHHSTQSA-J
1-(5-Phosphoribosyl)-ATP	N=c1c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]3O)c2ncn1C1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O	RKNHJBVBFHDXGR-MRUDJCSFSA-N
1-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)	CCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)OCCN	IZDRGPDUDLWAGR-MRXNPFEDSA-N
1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)	CCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OCC[NH3+]	RPXHXZNGZBHSMJ-GOSISDBHSA-N
1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)	C=CCCCCCCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC[NH3+]	YSHZQRWWOMLMJJ-UHFFFAOYSA-N
1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)	CCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OCC[NH3+]	YVYMBNSKXOXSKW-HXUWFJFHSA-N
1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)	CCCCCCCCC=CCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OCC[NH3+]	JURXBKAAUDRHQL-HXUWFJFHSA-N
1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)	CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OCC[NH3+]	BBYWOYAFBUOUFP-JOCHJYFZSA-N
1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)	CCCCCCCC/C=C/CCCCCCCC(=O)OCC(O)COP(=O)(O)OCCN	PYVRVRFVLRNJLY-MDZDMXLPSA-N
1-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)	CCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)OC[C@@H](O)CO	IACXMECMZISNLR-DLBZAZTESA-N
