(-)-Ureidoglycolate	NC(=O)N[C@@H](O)C(=O)[O-]	NWZYYCVIOKVTII-SFOWXEAESA-M
5-Methylthioadenosine	CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O	WUUGFSXJNOTRMR-IOSLPCCCSA-N
5-O-(1-Carboxyvinyl)-3-phosphoshikimate	C=C(O[C@@H]1CC(C(=O)[O-])=C[C@@H](OP(=O)([O-])[O-])[C@H]1O)C(=O)[O-]	QUTYKIXIUDQOLK-PRJMDXOYSA-J
5-Phospho-alpha-D-ribose 1-diphosphate	O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])[O-])[C@H](O)[C@@H]1O	PQGCEDQWHSBAJP-TXICZTDVSA-I
5-Phospho-beta-D-ribosylamine	[NH3+][C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O	SKCBPEVYGOQGJN-TXICZTDVSA-M
5-Phosphoguanylyl(3->5)guanosine	Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])O[C@@H]3[C@@H](COP(=O)([O-])[O-])O[C@@H](n4cnc5c(=O)[nH]c(N)nc54)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1	ZEHOHLFQOXAZHX-MHARETSRSA-K
5-[(5-phospho-1-deoxyribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosyl)imidazole-4-carboxamide	NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1NC=NCC(=O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]	BLKFNHOCHNCLII-GHVQHMAVSA-J
5-amino-1-(5-phospho-D-ribosyl)imidazole	Nc1cncn1C1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O	PDACUKOKVHBVHJ-ZRTZXPPTSA-N
5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate	Nc1c(C(=O)[O-])[nH+]cn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O	XFVULMDJZXYMSG-ZIYNGMLESA-L
5-phosphoribosyl-5-carboxyaminoimidazole	O=C([O-])Nc1cncn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O	JHLXDWGVSYMXPL-XVFCMESISA-K
6,7-Dihydropteridine	c1ncc2c(n1)=NCCN=2	KVDQMARGGBLIJM-UHFFFAOYSA-N
6,7-Dimethyl-8-(1-D-ribityl)lumazine	Cc1nc2c(=O)[n-]c(=O)nc-2n(C[C@H](O)[C@H](O)[C@H](O)CO)c1C	SXDXRJZUAJBNFL-XKSSXDPKSA-M
6-Acetyl-D-glucose	CC(=O)OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O	ILLOJQCWUBEHBA-JAJWTYFOSA-N
6-Phospho-D-gluconate	O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]	BIRSGZKFKXLSJQ-SQOUGZDYSA-K
6-Phospho-beta-D-glucosyl-(1,4)-D-glucose	C(C1C(C(C(C(O1)O)O)O)OC2C(C(C(C(O2)COP(=O)(O)O)O)O)O)O	ITPHOIFCAFNCLL-CUHNMECISA-N
6-carboxy-5,6,7,8-tetrahydropterin	Nc1nc2c(c(=O)[nH]1)NC(C(=O)[O-])CN2	QSIYONWVWDSRRO-UHFFFAOYSA-M
6-hydroxymethyl dihydropterin	Nc1nc2c(c(=O)[nH]1)N=C(CO)CN2	CQQNNQTXUGLUEV-UHFFFAOYSA-N
6-hydroxymethyl-dihydropterin pyrophosphate	Nc1nc2c(c(=O)[nH]1)N=C(COP(=O)([O-])OP(=O)([O-])[O-])CN2	FCQGJGLSOWZZON-UHFFFAOYSA-K
6-phospho-D-glucono-1,5-lactone	O=C1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H](O)[C@H]1O	IJOJIVNDFQSGAB-SQOUGZDYSA-L
7,8-Diaminononanoate	C[C@H]([NH3+])[C@H]([NH3+])CCCCCC(=O)[O-]	KCEGBPIYGIWCDH-JGVFFNPUSA-O
7,8-Dihydrofolate	Nc1nc2c(c(=O)[nH]1)N=C(CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)CN2	OZRNSSUDZOLUSN-LBPRGKRZSA-L
7-aminomethyl-7-deazaguanine	Nc1nc2[nH]cc(C[NH3+])c2c(=O)[nH]1	MEYMBLGOKYDGLZ-UHFFFAOYSA-O
7-cyano-7-carbaguanine	N#Cc1c[nH]c2nc(N)[nH]c(=O)c12	FMKSMYDYKXQYRV-UHFFFAOYSA-N
7-deaza-7-carboxyguanine	Nc1nc2[nH]cc(C(=O)[O-])c2c(=O)[nH]1	XIUIRSLBMMTDSK-UHFFFAOYSA-M
8-Amino-7-oxononanoate	CC([NH3+])C(=O)CCCCCC(=O)[O-]	GUAHPAJOXVYFON-UHFFFAOYSA-N
ADP	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O	XTWYTFMLZFPYCI-KQYNXXCUSA-K
ADP-D-glycero-D-manno-heptose	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@@H]2O[C@H]([C@H](O)CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O	KMSFWBYFWSKGGR-FQBROAFUSA-L
ADP-L-glycero-D-manno-heptose	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OC2O[C@H]([C@@H](O)CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O	KMSFWBYFWSKGGR-XRLZOAFQSA-N
ADPglucose	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H]1O	WFPZSXYXPSUOPY-ROYWQJLOSA-L
ADPribose	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]2OC(O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O	SRNWOUGRCWSEMX-TYASJMOZSA-N
AMP	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O	UDMBCSSLTHHNCD-KQYNXXCUSA-L
ATP	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O	ZKHQWZAMYRWXGA-KQYNXXCUSA-J
Acetaldehyde	CC=O	IKHGUXGNUITLKF-UHFFFAOYSA-N
Acetate	CC(=O)[O-]	QTBSBXVTEAMEQO-UHFFFAOYSA-M
Acetoacetate	C=C(O)CC(=O)O	YMXHTKKMLXGXDC-UHFFFAOYSA-N
Acetoacetyl-ACP	CC(=O)CC(=O)S[*]	
Acetoacetyl-CoA	CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	OJFDKHTZOUZBOS-CITAKDKDSA-J
Acetol cytosol	CC(=O)CO	XLSMFKSTNGKWQX-UHFFFAOYSA-N
Acetyl phosphate	CC(=O)OP(=O)([O-])[O-]	LIPOUNRJVLNBCD-UHFFFAOYSA-L
Acetyl-ACP	[1*]SC(C)=O	
Acetyl-CoA	CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	ZSLZBFCDCINBPY-ZSJPKINUSA-J
Acetyl-maltose	CC(=O)OCC1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O	IJVLHLCOMOKFHH-DURRTVQMSA-N
Acyl carrier protein	[*]S	
Acyl phosphatidylglycerol (n-C12:0)	CCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)O	AJCVDIXUOBZCPE-ZESVVUHVSA-M
Acyl phosphatidylglycerol (n-C14:0)	CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC)O	HLSZVIULNVUBQI-YWPUXERESA-M
Acyl phosphatidylglycerol (n-C14:1)	CCCCCCC=CCCCCCC(=O)OCC(O)COP(=O)([O-])OCC(COC(=O)CCCCCC=CCCCCCC)OC(=O)CCCCCC=CCCCCCC	GKHYJHGQULCCBX-UHFFFAOYSA-M
Acyl phosphatidylglycerol (n-C16:0)	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC)O	BSAFHIMUDGXOPA-OKPYTHRESA-M
Acyl phosphatidylglycerol (n-C16:1)	CCCCCCC=CCCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC(COC(=O)CCCCCCCC=CCCCCCC)OC(=O)CCCCCCCC=CCCCCCC	ISOXHMBLKVGIAT-UHFFFAOYSA-M
Acyl phosphatidylglycerol (n-C18:0)	CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC)O	WCMVNCVROQLVSH-JBQXKKLXSA-M
Acyl phosphatidylglycerol (n-C18:1)	CCCCCCC=CCCCCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC(COC(=O)CCCCCCCCCC=CCCCCCC)OC(=O)CCCCCCCCCC=CCCCCCC	MNEWMEXDRDMOEP-UHFFFAOYSA-M
Adenine	Nc1ncnc2[nH]cnc12	GFFGJBXGBJISGV-UHFFFAOYSA-N
Adenosine	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	OIRDTQYFTABQOQ-KQYNXXCUSA-N
Adenosine 3',5'-bisphosphate	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])[C@H]1O	WHTCPDAXWFLDIH-KQYNXXCUSA-J
Adenosine 5'-phosphosulfate	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OS(=O)(=O)[O-])[C@@H](O)[C@H]1O	IRLPACMLTUPBCL-KQYNXXCUSA-L
Adenosine thiamine triphosphate	Cc1ncc(C[n+]2csc(CCOP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2C)c(N)n1	FGOYXNBJKMNPDH-SAJUPQAESA-L
Adenosine-GDP-cobinamide	CC1=C2[N+]3=C(C=C4[N+]5=C(C(C)=C6N7[C@H]([C@H](CC(N)=O)[C@@]6(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])OP(=O)([O-])OC[C@H]6O[C@@H](n8cnc9c(=O)[nH]c(N)nc98)[C@H](O)[C@@H]6O)[C@]6(C)[N+](=C1[C@@H](CCC(N)=O)[C@]6(C)CC(N)=O)[Co-2]753C[C@H]1O[C@@H](n3cnc5c(N)ncnc53)[C@H](O)[C@@H]1O)[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O	IQTYKHRKNGVJEO-RRMAJTJESA-K
Adenosyl cobinamide	CC1=C2C(C(C([N-]2)C3(C(C(C(=N3)C(=C4C(C(C(=N4)C=C5C(C(C1=N5)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)(C)CCC(=O)NCC(C)O.[CH2-]C1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.[Co]	ISIJQGZVIFYXMD-QMUWONGRSA-M
Adenosyl cobinamide phosphate	CC1=C2[N+]3=C(C=C4[N+]5=C(C(C)=C6N7[C@H]([C@H](CC(N)=O)[C@@]6(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])[O-])[C@]6(C)[N+](=C1[C@@H](CCC(N)=O)[C@]6(C)CC(N)=O)[Co-2]753C[C@H]1O[C@@H](n3cnc5c(N)ncnc53)[C@H](O)[C@@H]1O)[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O	MQCMBMUJJHSGIF-QMUWONGRSA-K
Adenosylcobalamin	CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[CH2-]C1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.[Co]	DFDCDQDATCDZSO-OUCXYWSSSA-L
Adenylated molybdopterin	Nc1nc2c(c(=O)[nH]1)N[C@H]1C(S)=C([S-])[C@@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)O[C@H]1N2	XJXFAXLUOKQPAQ-YPRLVJTJSA-K
Aerobactin	CC(=O)N(O)CCCC[C@H](NC(=O)CC(O)(CC(=O)N[C@@H](CCCCN(O)C(C)=O)C(=O)[O-])C(=O)[O-])C(=O)[O-]	KDHHWXGBNUCREU-HOTGVXAUSA-K
Aerobactin minus Fe3	CC(=O)N(CCCCC(C(=O)[O-])NC(=O)CC(CC(=O)NC(CCCCN(C(=O)C)O)C(=O)[O-])(C(=O)[O-])O)O	KDHHWXGBNUCREU-HOTGVXAUSA-K
Agmatine	NC(=[NH2+])NCCCC[NH3+]	QYPPJABKJHAVHS-UHFFFAOYSA-P
All-trans-Octaprenyl diphosphate	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]	IKKLDISSULFFQO-DJMILUHSSA-K
Allantoate	NC(=O)NC(NC(N)=O)C(=O)[O-]	NUCLJNSWZCHRKL-UHFFFAOYSA-M
Allantoin	NC(=O)NC1NC(=O)NC1=O	POJWUDADGALRAB-UHFFFAOYSA-N
Allulose 6-phosphate	O=C(CO)[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]	GSXOAOHZAIYLCY-NGJCXOISSA-L
Alpha,alpha'-Trehalose 6-phosphate	O=P([O-])([O-])OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	LABSPYBHMPDTEL-LIZSDCNHSA-L
Alpha-D-Galactose 1-phosphate	O=P([O-])([O-])O[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O	HXXFSFRBOHSIMQ-FPRJBGLDSA-L
Alpha-D-Ribose 1-phosphate	O=P([O-])([O-])O[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O	YXJDFQJKERBOBM-TXICZTDVSA-L
Alpha-D-Ribose 5-phosphate	O=P(O)(O)OC[C@H]1O[C@H](O)[C@H](O)[C@@H]1O	KTVPXOYAKDPRHY-AIHAYLRMSA-N
Aminoacetaldehyde	[NH3+]CC=O	LYIIBVSRGJSHAV-UHFFFAOYSA-O
Aminoacetone	CC(=O)C[NH3+]	BCDGQXUMWHRQCB-UHFFFAOYSA-O
Aminomethylphosphonate	C([NH3+])P(=O)([O-])[O-]	MGRVRXRGTBOSHW-UHFFFAOYSA-M
Ammonium	[NH2-]	HYGWNUKOUCZBND-UHFFFAOYSA-N
Anthranilate	Nc1ccccc1C(=O)[O-]	RWZYAGGXGHYGMB-UHFFFAOYSA-M
Apoprotein [acyl carrier protein]	[*][NH2+][C@@H](CO)C([*])=O	
Arbutin	OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O	BJRNKVDFDLYUGJ-RMPHRYRLSA-N
Arbutin 6-phosphate	O=P([O-])([O-])OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O	FBHYCDOVYMVLEN-RMPHRYRLSA-L
Arsenate	O=[As]([O-])([O-])O	DJHGAFSJWGLOIV-UHFFFAOYSA-L
Arsenite	O[As](O)O	GCPXMJHSNVMWNM-UHFFFAOYSA-N
Beta D-Galactose	OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O	WQZGKKKJIJFFOK-FPRJBGLDSA-N
Beta-Alanine	[NH3+]CCC(=O)[O-]	UCMIRNVEIXFBKS-UHFFFAOYSA-N
Betaine aldehyde	C[N+](C)(C)CC=O	SXKNCCSPZDCRFD-UHFFFAOYSA-N
Bicarbonate	O=C([O-])O	BVKZGUZCCUSVTD-UHFFFAOYSA-M
Biotin	O=C([O-])CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12	YBJHBAHKTGYVGT-ZKWXMUAHSA-M
Branching glycogen	OCC1OC(OCC2OC(OC3C(CO)OC(O)C(O)C3O)C(O)C(O)C2OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O	BYSGBSNPRWKUQH-UHFFFAOYSA-N
But-2-enoyl-[acyl-carrier protein]	CC=CC(=O)S	YTTALSLGBLXCOB-NSCUHMNNSA-N
Butanal	CCCC=O	ZTQSAGDEMFDKMZ-UHFFFAOYSA-N
Butanesulfonate	CCCCS(=O)(=O)[O-]	QDHFHIQKOVNCNC-UHFFFAOYSA-M
Butanoyl-CoA	CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	CRFNGMNYKDXRTN-CITAKDKDSA-J
Butyryl-ACP (n-C4:0ACP)	CCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])O[*]	
C'-(3-Indolyl)-glycerol 3-phosphate	O=P([O-])([O-])OC[C@@H](O)[C@@H](O)c1c[nH]c2ccccc12	NQEQTYPJSIEPHW-MNOVXSKESA-L
CAMP	Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2COP(=O)([O-])O[C@H]2[C@H]1O	IVOMOUWHDPKRLL-KQYNXXCUSA-M
CDP	Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1	ZWIADYZPOWUWEW-XVFCMESISA-K
CDP-1,2-didodecanoylglycerol	CCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OP(=O)([O-])OCC1OC(n2ccc(N)nc2=O)C(O)C1O)OC(=O)CCCCCCCCCCC	PTPPKXVNJJIECF-UHFFFAOYSA-L
CDP-1,2-dihexadec-9-enoylglycerol	CCCCCCC=CCCCCCCCC(=O)OC[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O)OC(=O)CCCCCCCC=CCCCCCC	LBKBJHVQQNUXGQ-BQUKFSKHSA-N
CDP-1,2-dioctadec-11-enoylglycerol	CCCCCCC=CCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O)OC(=O)CCCCCCCCCC=CCCCCCC	KISJWPWNABZPGN-IGIWICMZSA-N
CDP-1,2-dioctadecanoylglycerol	CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O)OC(=O)CCCCCCCCCCCCCCCCC	PDCWLWQTNQCGRI-IGIWICMZSA-N
CDP-1,2-ditetradec-7-enoylglycerol	CCCCCCC=CCCCCCC(=O)OC[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O)OC(=O)CCCCCC=CCCCCCC	VDJIEKQUDMPHPA-WNAWUNHNSA-N
CDP-1,2-ditetradecanoylglycerol	CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O)OC(=O)CCCCCCCCCCCCC	ICFWXMWHAMIZGF-WNAWUNHNSA-N
CMP	Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1	IERHLVCPSMICTF-XVFCMESISA-L
CMP-3-deoxy-D-manno-octulosonate	Nc1ccn([C@@H]2O[C@H](COP(=O)(O)O[C@]3(C(=O)O)C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O3)[C@@H](O)[C@H]2O)c(=O)n1	YWWJKULNWGRYAS-XKKDATLGSA-N
CO2	O=C=O	CURLTUGMZLYLDI-UHFFFAOYSA-N
CTP	Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1	PCDQPRRSZKQHHS-XVFCMESISA-J
Cadmium	[Cd+2]	WLZRMCYVCSSEQC-UHFFFAOYSA-N
Calcium	[Ca+2]	BHPQYMZQTOCNFJ-UHFFFAOYSA-N
Carbamate	NC(=O)[O-]	KXDHJXZQYSOELW-UHFFFAOYSA-M
Carbamoyl phosphate	NC(=O)OP(=O)([O-])[O-]	FFQKYPRQEYGKAF-UHFFFAOYSA-L
Carboxy-S-adenosyl-L-methionine	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)C[S+](CCC(C(=O)[O-])[NH3+])CC(=O)[O-])O)O)N	VFFTYSZNZJBRBG-DYXDMYNLSA-N
Cardiolipin (tetradodecanoyl, n-C12:0)	CCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC(O)COP(=O)([O-])OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC	LNSKUBQTAKEJOP-UHFFFAOYSA-L
Cardiolipin (tetrahexadec-9-enoyl, n-C16:1)	CCCCCCC=CCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCC(O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCC=CCCCCCC)OC(=O)CCCCCCCC=CCCCCCC)OC(=O)CCCCCCCC=CCCCCCC	UYSHBKYVDAZLKJ-GMUISZSCSA-N
Cardiolipin (tetrahexadecanoyl, n-C16:0)	CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCC(O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC	GRTNLBQYBYZCCM-ULKDXPJMSA-N
Cardiolipin (tetraoctadec-11-enoyl, n-C18:1)	CCCCCCC=CCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCC(O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCC=CCCCCCC)OC(=O)CCCCCCCCCC=CCCCCCC)OC(=O)CCCCCCCCCC=CCCCCCC	HSSSADMXQPKIEB-GXYAQEMJSA-N
Cardiolipin (tetraoctadecanoyl, n-C18:0)	CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC(O)COP(=O)([O-])OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC	XVTUQDWPJJBEHJ-UHFFFAOYSA-L
Cardiolipin (tetratetradec-7-enoyl, n-C14:1)	CCCCCCC=CCCCCCC(=O)OCC(COP(=O)([O-])OCC(O)COP(=O)([O-])OCC(COC(=O)CCCCCC=CCCCCCC)OC(=O)CCCCCC=CCCCCCC)OC(=O)CCCCCC=CCCCCCC	JFMBCSNNHZGVDL-UHFFFAOYSA-L
Cardiolipin (tetratetradecanoyl, n-C14:0)	CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCC(O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC	SDCJNZZAOLRVCP-GTOSQJSUSA-N
Cellobiose	OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	GUBGYTABKSRVRQ-QRZGKKJRSA-N
Cesium ion	[Cs+]	NCMHKCKGHRPLCM-UHFFFAOYSA-N
Chloramphenicol	O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl	WIIZWVCIJKGZOK-RKDXNWHRSA-N
Chloride	[ClH2+]	IGJWHVUMEJASKV-UHFFFAOYSA-N
Cholate c	C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O	BHQCQFFYRZLCQQ-OELDTZBJSA-M
Choline	C[N+](C)(C)CCO	OEYIOHPDSNJKLS-UHFFFAOYSA-N
Chorismate	C=C(O[C@@H]1C=C(C(=O)[O-])C=C[C@H]1O)C(=O)[O-]	WTFXTQVDAKGDEY-HTQZYQBOSA-L
Cis-2-Methylaconitate	C/C(C(=O)[O-])=C(\CC(=O)[O-])C(=O)[O-]	NUZLRKBHOBPTQV-ARJAWSKDSA-K
Cis-3-(3-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol	O=C(O)C=CC1=CC=C[C@H](O)[C@@H]1O	AEUBLTTWYCDTGM-IONNQARKSA-N
Cis-3-(3-carboxyethyl)-3,5-cyclohexadiene-1,2-diol	O=C([O-])CCC1=CC=C[C@@H](O)[C@H]1O	RKDFGWAXBBGKMR-APPZFPTMSA-M
Cis-Aconitate	O=C([O-])/C=C(/CC(=O)[O-])C(=O)[O-]	GTZCVFVGUGFEME-IWQZZHSRSA-K
Cis-dec-3-enoyl-[acyl-carrier protein] (n-C10:1)	CCCCCCC=CCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])O[*]	
Cis-dodec-5-enoyl-[acyl-carrier protein] (n-C12:1)	CCCCCCC=CCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])O[*]	
Cis-hexadec-9-enoyl-[acyl-carrier protein] (n-C16:1)	CCCCCCC=CCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])O[*]	
Cis-octadec-11-enoyl-[acyl-carrier protein] (n-C18:1)	C=CCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])O[*]	
Cis-tetradec-7-enoyl-[acyl-carrier protein] (n-C14:1)	C=CCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])O[*]	
Citrate	O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-]	KRKNYBCHXYNGOX-UHFFFAOYSA-K
Co2+	[Co+2]	XLJKHNWPARRRJB-UHFFFAOYSA-N
