2-Octaprenyl-6-methoxyphenol	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC=C1)OC)O)C)C)C)C)C)C)C)C
2-Octaprenylphenol	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=CC=CC=C1O)C)C)C)C)C)C)C)C
2-oxepin-2(3H)-ylideneacetyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C=C4CC=CC=CO4)O
2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol	CC(CO)(C(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O)O)OP(=O)(O)O
D-Glycerate 2-phosphate	C(C(C(=O)O)OP(=O)(O)O)O
2-Phosphoglycolate	C(C(=O)[O-])OP(=O)([O-])[O-]
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate	C=C(C(=O)O)OC1C=CC(C(C1O)C(=O)O)C(=O)CCC(=O)O
2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate	C1=CC(C(C(=C1)C(=O)CCC(=O)O)C(=O)O)O
2-tetradec-7-enoyl-sn-glycerol 3-phosphate	CCCCCCC=CCCCCCC(=O)OC(CO)COP(=O)([O-])[O-]
2'-(5''-triphosphoribosyl)-3'-dephospho-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O)C(C(=O)NCCC(=O)NCCS)O
3,4-Dihydroxyphenylacetaldehyde	C1=CC(=C(C=C1CC=O)O)O
3,4-dihydroxyphenylacetyl-CoA	CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])C(C(=O)NCCC(=O)NCCSC(=O)CC4=CC(=C(C=C4)O)O)O
3-(4-Hydroxyphenyl)pyruvate	C1=CC(=CC=C1CC(=O)C(=O)[O-])O
3',5'-Cyclic GMP	C1C2C(C(C(O2)N3C=NC4=C3N=C(NC4=O)N)O)OP(=O)(O1)O
(3S)-3,6-Diaminohexanoate	C(CC(CC(=O)O)N)CN
3-Aminoacrylate	C(=CN)C(=O)[O-]
3-Carboxy-2-hydroxy-4-methylpentanoate	CC(C)C(C(C(=O)O)O)C(=O)O
3-Carboxy-3-hydroxy-4-methylpentanoate	CC(C)C(CC(=O)O)(C(=O)O)O
3-Carboxy-4-methyl-2-oxopentanoate	CC(C)C(C(=O)C(=O)O)C(=O)O
3-Dehydro-L-gulonate	C(C(C(C(=O)C(C(=O)O)O)O)O)O
3-Dehydroquinate	C1C(C(C(=O)CC1(C(=O)[O-])O)O)O
3-Dehydroshikimate	C1C(C(C(=O)C=C1C(=O)O)O)O
(3R)-3-Hydroxyacyl-[acyl-carrier protein]	C(CO)C(=O)S
(3S)-3-Hydroxyadipyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(CCC(=O)O)O)O
(S)-3-Hydroxybutanoyl-CoA	CC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-Hydroxybenzoate	C1=CC(=CC(=C1)[O-])C(=O)O
3-hydroxybenzoyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C4=CC(=CC=C4)O)O
3-hydroxycinnamic acid	C1=CC(=CC(=C1)O)C=CC(=O)O
(S)-3-Hydroxydecanoyl-CoA	CCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(S)-3-Hydroxydodecanoyl-CoA	CCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(R)-3-Hydroxydodecanoyl-[acyl-carrier protein]	CCCCCCCCCC(CC(=O)S)O
(S)-3-Hydroxyhexanoyl-CoA	CCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(S)-3-Hydroxyhexadecanoyl-CoA	CCCCCCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(R)-3-Hydroxyhexanoyl-[acyl-carrier protein]	CCCC(CC(=O)S)O
(S)-3-Hydroxyoctanoyl-CoA	CCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein]	CCCCCCCCCCCCCCCC(CC(=O)S)O
(S)-3-Hydroxyoctadecanoyl-CoA	CCCCCCCCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-Hydroxypropanoate	C(CO)C(=O)O
3-Hydroxypropanal	C(CO)C=O
(S)-3-Hydroxytetradecanoyl-CoA	CCCCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-Methyl-2-oxobutanoate	CC(C)C(=O)C(=O)[O-]
(S)-3-Methyl-2-oxopentanoate	CCC(C)C(=O)C(=O)[O-]
