rxn_IDs	rxnNames	slope	grRules	rxn_formula
UMPK	UMP kinase	0.0514300493265411	b0910 or b0171	ATP[c] + UMP[c] + 0.034759 prot_pool[c] => ADP[c] + UDP[c]
DHORD2	Dihydoorotic acid dehydrogenase (quinone8)	0.0505285370831743	b0945	(S)-Dihydroorotate[c] + Ubiquinone-8[c] + 0.0028473 prot_pool[c] => Orotate[c] + Ubiquinol-8[c]
SDPDS	Succinyl-diaminopimelate desuccinylase	0.0504654952733214	b2472	H2O[c] + N-Succinyl-LL-2,6-diaminoheptanedioate[c] + 0.043426 prot_pool[c] => LL-2,6-Diaminoheptanedioate[c] + Succinate[c]
DAPE	Diaminopimelate epimerase	0.0504654952733214	b3809	LL-2,6-Diaminoheptanedioate[c] + 0.013183 prot_pool[c] => Meso-2,6-Diaminoheptanedioate[c]
DHDPRy	Dihydrodipicolinate reductase (NADPH)	0.0504654952733214	b0031	2,3-Dihydrodipicolinate[c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] + 0.56489 prot_pool[c] => Nicotinamide adenine dinucleotide phosphate[c] + 2,3,4,5-Tetrahydrodipicolinate[c]
DHDPS	Dihydrodipicolinate synthase	0.0504654952733214	b2478	L-Aspartate 4-semialdehyde[c] + Pyruvate[c] + 0.038951 prot_pool[c] => 2,3-Dihydrodipicolinate[c] + 2 H2O[c] + H+[c]
SDPTA_REV	Succinyldiaminopimelate transaminase (reversible)	0.0504654952733214	b3359 or b1302 or b1748 or b2662 or b0907	L-Glutamate[c] + N-Succinyl-2-L-amino-6-oxoheptanedioate[c] + 0.93804 prot_pool[c] => 2-Oxoglutarate[c] + N-Succinyl-LL-2,6-diaminoheptanedioate[c]
THDPS	Tetrahydrodipicolinate succinylase	0.0504654952733214	b0166	H2O[c] + Succinyl-CoA[c] + 2,3,4,5-Tetrahydrodipicolinate[c] + 0.066728 prot_pool[c] => Coenzyme A[c] + N-Succinyl-2-L-amino-6-oxoheptanedioate[c]
ACOAD5f_REV	Acyl-CoA dehydrogenase (dodecanoyl-CoA) (reversible)	0.0484154437884173	b0221	Trans-Dodec-2-enoyl-CoA[c] + Flavin adenine dinucleotide reduced[c] + 0.10031 prot_pool[c] => Dodecanoyl-CoA (n-C12:0CoA)[c] + Flavin adenine dinucleotide oxidized[c]
ECOAH5	3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA)	0.0484154437884173	b2341 or b3846	(S)-3-Hydroxydodecanoyl-CoA[c] + 0.0027471 prot_pool[c] => Trans-Dodec-2-enoyl-CoA[c] + H2O[c]
ACACT4r	Acetyl-CoA C-acyltransferase (octanoyl-CoA) (r)	0.0484154437884173	b2342 or b3845	Acetyl-CoA[c] + Octanoyl-CoA (n-C8:0CoA)[c] + 0.63134 prot_pool[c] => 3-Oxodecanoyl-CoA[c] + Coenzyme A[c]
ACACT5r	Acetyl-CoA C-acyltransferase (decanoyl-CoA) (r)	0.0484154437884173	b3845 or b2342	Acetyl-CoA[c] + Decanoyl-CoA (n-C10:0CoA)[c] + 0.63134 prot_pool[c] => 3-Oxododecanoyl-CoA[c] + Coenzyme A[c]
ECOAH2	3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA)	0.0484154437884173	b2341 or b3846	(S)-3-Hydroxyhexanoyl-CoA[c] + 0.0056856 prot_pool[c] => H2O[c] + Trans-Hex-2-enoyl-CoA[c]
ECOAH3	3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA)	0.0484154437884173	b2341 or b3846	(S)-3-Hydroxyoctanoyl-CoA[c] + 0.00026297 prot_pool[c] => H2O[c] + Trans-Oct-2-enoyl-CoA[c]
HACD5	3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA)	0.0484154437884173	b3846 or b2341	3-Oxododecanoyl-CoA[c] + H+[c] + Nicotinamide adenine dinucleotide - reduced[c] + 0.12496 prot_pool[c] => (S)-3-Hydroxydodecanoyl-CoA[c] + Nicotinamide adenine dinucleotide[c]
