pairID,enzymeID,rxnID,rxnName,kcat,kcatMin,kcatMax,newKcat,foldChange,logFold
4092,P40345,r_2974_REV,"PC (1-18:0, 2-16:1) diacylglycerol (1-18:1, 2-16:1) acyltransferase, ER membrane (reversible)",0.00642069028933225,NaN,NaN,0.000642069028933225,0.1,-2.30258509299405
4093,P40345,r_2975,"PC (1-18:1, 2-16:1) diacylglycerol (1-18:1, 2-16:1) acyltransferase, ER membrane",0.00457071880098649,NaN,NaN,0.000457071880098649,0.1,-2.30258509299405
4094,P40345,r_2975_REV,"PC (1-18:1, 2-16:1) diacylglycerol (1-18:1, 2-16:1) acyltransferase, ER membrane (reversible)",0.000262245571375733,NaN,NaN,0.00262245571374312,9.99999999994579,2.30258509298863
4095,P40345,r_2976,"PC (1-16:0, 2-18:1) diacylglycerol (1-18:1, 2-16:1) acyltransferase, ER membrane",0.00306685671041958,NaN,NaN,0.000306685671041958,0.1,-2.30258509299405
4096,P40345,r_2976_REV,"PC (1-16:0, 2-18:1) diacylglycerol (1-18:1, 2-16:1) acyltransferase, ER membrane (reversible)",0.00415990411235424,NaN,NaN,0.000415990411235424,0.1,-2.30258509299405
4101,P40345,r_2979,"PC (1-18:1, 2-18:1) diacylglycerol (1-18:1, 2-16:1) acyltransferase, ER membrane",0.000294756147574529,NaN,NaN,0.00294756147572931,9.99999999994581,2.30258509298863
4102,P40345,r_2979_REV,"PC (1-18:1, 2-18:1) diacylglycerol (1-18:1, 2-16:1) acyltransferase, ER membrane (reversible)",0.00238050167660857,NaN,NaN,0.000238050167660857,0.1,-2.30258509299405
4104,P40345,r_2980_REV,"PC (1-16:0, 2-16:1) diacylglycerol (1-16:0, 2-18:1) acyltransferase, ER membrane (reversible)",0.00435075184967178,NaN,NaN,0.000435075184967178,0.1,-2.30258509299405
4105,P40345,r_2981,"PC (1-16:1, 2-16:1) diacylglycerol (1-16:0, 2-18:1) acyltransferase, ER membrane",0.0113023435442141,NaN,NaN,0.00113023435442141,0.1,-2.30258509299405
4107,P40345,r_2982,"PC (1-18:0, 2-16:1) diacylglycerol (1-16:0, 2-18:1) acyltransferase, ER membrane",0.00805716889372349,NaN,NaN,0.000805716889372349,0.1,-2.30258509299405
4111,P40345,r_2984,"PC (1-16:0, 2-18:1) diacylglycerol (1-16:0, 2-18:1) acyltransferase, ER membrane",0.00305824858615017,NaN,NaN,0.000305824858615017,0.1,-2.30258509299405
4112,P40345,r_2984_REV,"PC (1-16:0, 2-18:1) diacylglycerol (1-16:0, 2-18:1) acyltransferase, ER membrane (reversible)",0.000244952552172834,NaN,NaN,0.00244952552171506,9.99999999994579,2.30258509298862
4122,P40345,r_2989_REV,"PC (1-16:1, 2-16:1) diacylglycerol (1-16:1, 2-18:1) acyltransferase, ER membrane (reversible)",0.000199099436116568,NaN,NaN,0.00199099436115489,9.9999999999458,2.30258509298863
4124,P40345,r_2990_REV,"PC (1-18:0, 2-16:1) diacylglycerol (1-16:1, 2-18:1) acyltransferase, ER membrane (reversible)",0.00305753168100112,NaN,NaN,0.000305753168100112,0.1,-2.30258509299405
4127,P40345,r_2992,"PC (1-16:0, 2-18:1) diacylglycerol (1-16:1, 2-18:1) acyltransferase, ER membrane",8.09130472308824e-05,NaN,NaN,0.000809130472308207,9.99999999999237,2.30258509299328
4129,P40345,r_2993,"PC (1-16:1, 2-18:1) diacylglycerol (1-16:1, 2-18:1) acyltransferase, ER membrane",0.00463577091331934,NaN,NaN,0.000463577091331934,0.1,-2.30258509299405
4131,P40345,r_2994,"PC (1-18:0, 2-18:1) diacylglycerol (1-16:1, 2-18:1) acyltransferase, ER membrane",0.00250679314754934,NaN,NaN,0.000250679314754934,0.1,-2.30258509299405
4132,P40345,r_2994_REV,"PC (1-18:0, 2-18:1) diacylglycerol (1-16:1, 2-18:1) acyltransferase, ER membrane (reversible)",0.00536374103731233,NaN,NaN,0.000536374103731233,0.1,-2.30258509299405
4134,P40345,r_2995_REV,"PC (1-18:1, 2-18:1) diacylglycerol (1-16:1, 2-18:1) acyltransferase, ER membrane (reversible)",0.00290315578953815,NaN,NaN,0.000290315578953814,0.1,-2.30258509299405
4138,P40345,r_2997_REV,"PC (1-16:1, 2-16:1) diacylglycerol (1-18:0, 2-18:1) acyltransferase, ER membrane (reversible)",0.0071019354516607,NaN,NaN,0.00071019354516607,0.1,-2.30258509299405
4148,P40345,r_3002_REV,"PC (1-18:0, 2-18:1) diacylglycerol (1-18:0, 2-18:1) acyltransferase, ER membrane (reversible)",0.00222516825519858,NaN,NaN,0.000222516825519858,0.1,-2.30258509299405
4154,P40345,r_3005_REV,"PC (1-16:1, 2-16:1) diacylglycerol (1-18:1, 2-18:1) acyltransferase, ER membrane (reversible)",0.00022946996662489,NaN,NaN,0.0022946996662489,10,2.30258509299405
4157,P40345,r_3007,"PC (1-18:1, 2-16:1) diacylglycerol (1-18:1, 2-18:1) acyltransferase, ER membrane",0.00787352614702888,NaN,NaN,0.000787352614702888,0.1,-2.30258509299405
4158,P40345,r_3007_REV,"PC (1-18:1, 2-16:1) diacylglycerol (1-18:1, 2-18:1) acyltransferase, ER membrane (reversible)",0.00993650295405135,NaN,NaN,0.000993650295405135,0.0999999999999999,-2.30258509299405
4159,P40345,r_3008,"PC (1-16:0, 2-18:1) diacylglycerol (1-18:1, 2-18:1) acyltransferase, ER membrane",0.000161474676310526,NaN,NaN,0.00161474676310528,10.0000000000001,2.30258509299406
4165,P40345,r_3011,"PC (1-18:1, 2-18:1) diacylglycerol (1-18:1, 2-18:1) acyltransferase, ER membrane",0.0100082047867882,NaN,NaN,0.00100082047867882,0.1,-2.30258509299405
