(+)-alpha-pinene	CC1=CCC2CC1C2(C)C	GRWFGVWFFZKLTI-UHFFFAOYSA-N
(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA	CCCCCC=CCC=CCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O	FODZOBVFWXSQFM-MVKOLZDDSA-N
(3S)-3-hydroxydodec-cis-6-enoyl-CoA	CCCCCC=CCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O	XPCGRNRSXHPWGU-CMDGGOBGSA-N
(3S)-3-hydroxylinoleoyl-CoA	CCCCCC=CCC=CCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O	ICMPOMMDSLXBOC-MVKOLZDDSA-N
(3S)-citramalyl-CoA	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@](C)(O)C(=O)[O-]	XYGOWHUIVNMEIA-XBVYHAPZSA-I
(3S)-hydroxy-eicosa-cis,cis-11,14-dienoyl-CoA	CCCCCC=CCC=CCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O	MNTSLNSVZACNCX-KVSQTSFHSA-N
(3S)-phytanic acid	CC(C)CCCC(C)CCCC(C)CCCC(C)CC(=O)O	RLCKHJSFHOZMDR-UHFFFAOYSA-N
(3Z)-dodecenoyl-CoA	CCCCCCCC/C=C\CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	XEMIVMKTVGRFTD-REDSNERGSA-N
(4R,8R,12R)-trimethyl-(2E)-tridecenoyl-CoA	CC(C)CCCC(C)CCCC(C)C=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O	XDRCVDXWYZRMDN-UHFFFAOYSA-N
(4Z,7Z,10Z)-hexadecatrienoyl-CoA	CCCCCC=CCC=CCC=CCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O	YYLOAXRAIXUEOW-YPDVEZFOSA-J
(4Z,7Z,10Z,13Z,16Z)-DPA	CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)[O-]	AVKOENOBFIYBSA-WMPRHZDHSA-M
