(+)-alpha-pinene	CC1=CCC2CC1C2(C)C	GRWFGVWFFZKLTI-UHFFFAOYSA-N
L-fuculose	C[C@H](O)[C@@H](O)[C@@H](O)C(=O)CO	QZNPNKJXABGCRC-LFRDXLMFSA-N
L-glutamate 5-semialdehyde	[H]C(=O)CC[C@H](N)C(=O)O	KABXUUFDPUOJMW-BYPYZUCNSA-N
L-gulonate	O=C([O-])[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO	RGHNJXZEOKUKBD-QTBDOELSSA-M
L-gulono-1,4-lactone	O=C1O[C@H]([C@@H](O)CO)[C@H](O)[C@@H]1O	SXZYCXMUPBBULW-SKNVOMKLSA-N
L-hydroxylysine	NC[C@H](O)CC[C@H](N)C(=O)O	YSMODUONRAFBET-UHNVWZDZSA-N
L-iditol	OC[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO	FBPFZTCFMRRESA-UNTFVMJOSA-N
L-iduronic acid	O=C(O)[C@@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O	AEMOLEFTQBMNLQ-HNFCZKTMSA-N
L-lactate	C[C@H](O)C(=O)O	JVTAAEKCZFNVCJ-REOHCLBHSA-N
L-lyxonate	C(C(C(C(C(=O)[O-])O)O)O)O	QXKAIJAYHKCRRA-PZGQECOJSA-M
L-metanephrine	NC(=O)CC[C@H](NC(=O)CCCc1cnc2ccccc12)C(=O)O	DGZSVIAYDFRXQW-AWEZNQCLSA-N
L-octanoylcarnitine	CCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C	CXTATJFJDMJMIY-CYBMUJFWSA-N
L-oleoylcarnitine	CCCCCCCCC=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	IPOLTUVFXFHAHI-WHIOSMTNSA-N
L-palmitoylcarnitine	CCCCCCCCCCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C	XOMRRQXKHMYMOC-OAQYLSRUSA-N
L-pipecolate	O=C([O-])[C@@H]1CCCC[NH2+]1	HXEACLLIILLPRG-YFKPBYRVSA-N
L-sorbose	O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)CO	BJHIKXHVCXFQLS-OTWZMJIISA-N
L-xylonate	O=C([O-])[C@@H](O)[C@H](O)[C@@H](O)CO	QXKAIJAYHKCRRA-NUNKFHFFSA-M
L-xylulose	O=C(CO)[C@H](O)[C@@H](O)CO	ZAQJHHRNXZUBTE-WVZVXSGGSA-N
LTD4	CCCCC/C=C\C/C=C\C=C\C=C\[C@@H](SC[C@H]([NH3+])C(=O)NCC(=O)[O-])[C@@H](O)CCCC(=O)[O-]	YEESKJGWJFYOOK-IJHYULJSSA-M
LacCer pool	CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC([*])=O	
Leb Glycolipid	CCCCCCCCCCCCCC=CC(C(COC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C)O)O)O)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)C)O)O)O)NC(=O)C)O)O)O)NC=O)O	JRHKAOWZMBOKKJ-LHZJNKMXSA-N
Leucyl-Alanyl-Arginine	CC(C)CC(C(=O)NC(C)C(=O)NC(CCCN=C(N)N)C(=O)O)N	LJHGALIOHLRRQN-DCAQKATOSA-N
Leucyl-Aspartyl-Lysine	CC(C)CC(C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)O)N	MYGQXVYRZMKRDB-SRVKXCTJSA-N
Leucyl-Glycine	CC(C)CC(C(=O)NCC(=O)O)N	LESXFEZIFXFIQR-LURJTMIESA-N
Leucyl-Leucyl-Tryptophan	CC(C)CC(C(=O)NC(CC(C)C)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)O)N	FOBUGKUBUJOWAD-IHPCNDPISA-N
Leucyl-Proline	CC(C)CC(C(=O)N1CCCC1C(=O)O)N	VTJUNIYRYIAIHF-IUCAKERBSA-N
Leucyl-Prolyl-Arginine	CC(C)CC(C(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)O)N	QMKFDEUJGYNFMC-AVGNSLFASA-N
Leucyl-Seryl-Tryptophan	CC(C)CC(C(=O)NC(CO)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)O)N	HWMQRQIFVGEAPH-XIRDDKMYSA-N
Leucyl-Tryptophan	CC(C)CC(C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)O)N	BQVUABVGYYSDCJ-UHFFFAOYSA-N
Leucyl-Tryptophanyl-Arginine	CC(C)CC(C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CCCN=C(N)N)C(=O)O)N	IDGRADDMTTWOQC-WDSOQIARSA-N
Leucyl-Tyrosyl-Tyrosine	CC(C)CC(C(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(CC2=CC=C(C=C2)O)C(=O)O)N	YIRIDPUGZKHMHT-ACRUOGEOSA-N
Leucyl-Valine	CC(C)CC(C(=O)NC(C(C)C)C(=O)O)N	MDSUKZSLOATHMH-UHFFFAOYSA-N
Leucylleucine	CC(C)CC(C(=O)NC(CC(C)C)C(=O)O)N	LCPYQJIKPJDLLB-UHFFFAOYSA-N
Ley Glycolipid	CCCCCCCCCCCCCC=CC(C(COC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)CO)O)O)OC5C(C(C(C(O5)C)O)O)O)OC6C(C(C(C(O6)C)O)O)O)NC(=O)C)O)O)O)NC=O)O	JWNWWTQCACWVJH-LHZJNKMXSA-N
Li+	[Li+]	HBBGRARXTFLTSG-UHFFFAOYSA-N
Linoleic Acid ACP (All Cis)	CCCCC/C=C\C/C=C\CCCCCCCC(=O)S[*]	
Linoleoyl Ethanolamide	CCCCCC=CCC=CCCCCCCCC(=O)NCCO	KQXDGUVSAAQARU-HZJYTTRNSA-N
Lithocholic acid 3-sulfate	CC(CCC(=O)O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)OS(=O)(=O)O)C)C	AXDXVEYHEODSPN-HVATVPOCSA-N
Losartan	CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl	PSIFNNKUMBGKDQ-UHFFFAOYSA-N
Losartan-N1-glucuronide	CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NN=NN4C5C(C(C(C(O5)C(=O)O)O)O)O)CO)Cl	OVOPSQNVVWGEQG-RTCYWULBSA-N
Lysophosphatidic Acid	CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)O)O	WRGQSWVCFNIUNZ-KTKRTIGZSA-N
Menaquinone-7	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=C(C)C(=O)c2ccccc2C1=O	RAKQPZMEYJZGPI-LJWNYQGCSA-N
Menaquinone-8	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=C(C)C(=O)c2ccccc2C1=O	LXKDFTDVRVLXFY-WQWYCSGDSA-N
Methanethiol	CS	LSDPWZHWYPCBBB-UHFFFAOYSA-N
Methylcobalamin	[CH3-].CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=C(C7=NC(=CC8=NC(=C(C4=N5)C)C(C8(C)C)CCC(=O)N)C(C7(C)CC(=O)N)CCC(=O)N)C)[N-]6)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[Co+3]	ZFLASALABLFSNM-WYVZQNDMSA-L
Mg2+	[Mg+2]	JLVVSXFLKOJNIY-UHFFFAOYSA-N
N(omega)-(ADP-D-ribosyl)-L-arginine	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@H](NC(=[NH2+])NCCC[C@H]([NH3+])C(=O)[O-])[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O	IWVSYNGKNZFSSA-PTDVUUCPSA-M
N,N-dimethyldopaminequinone	C[NH+](C)CCC1=CC(=O)C(=O)C=C1	CAXSHNNFXNMBRA-UHFFFAOYSA-O
N,N-dimethylindoliumolate	C[N+]1(C)C=Cc2cc(O)c([O-])cc21	AVORYUIJMLOMPW-UHFFFAOYSA-N
N-(11Z-eicosenoyl)-(4R)-hydroxysphinganine	CCCCCCCC/C=C\CCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)[C@H](O)CCCCCCCCCCCCCC	UEUNBXJMEZPARB-AFKJKPLPSA-N
N-(11Z-eicosenoyl)-sphing-4-enine	CCCCCCCC/C=C\CCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)/C=C/CCCCCCCCCCCCC	VJSANVIMIYPTLW-XXGFTFAKSA-N
N-(11Z-eicosenoyl)-sphinganine	CCCCCCCC/C=C\CCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)CCCCCCCCCCCCCCC	PULBITQLTXYVQX-FMECKOKGSA-N
N-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-(4R)-hydroxysphinganine	CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)N[C@@H](CO)[C@H](O)[C@H](O)CCCCCCCCCCCCCC	MYFWOINCQDEQRM-RGSGCEEESA-N
N-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sphinganine	CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)N[C@@H](CO)[C@H](O)CCCCCCCCCCCCCCC	NXKPWQUXGKASPM-AJIQFNDCSA-N
N-(9Z-octadecenoyl)-(4R)-hydroxysphinganine	CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](CO)[C@H](O)[C@H](O)CCCCCCCCCCCCCC	ATGQXSBKTQANOH-UWVGARPKSA-N
N-(9Z-octadecenoyl)-sphing-4-enine	CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](CO)[C@H](O)/C=C/CCCCCCCCCCCCC	OBFSLMQLPNKVRW-RHPAUOISSA-N
N-(9Z-octadecenoyl)-sphinganine	CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](CO)[C@H](O)CCCCCCCCCCCCCCC	MJQIARGPQMNBGT-WWUCIAQXSA-N
N-(omega)-hydroxyarginine	N/C(=N/O)NCCCC(N)C(=O)O	FQWRAVYMZULPNK-UHFFFAOYSA-N
N-Acetyl-Tyrosine	CC(=O)NC(CC1=CC=C(C=C1)O)C(=O)O	CAHKINHBCWCHCF-JTQLQIEISA-N
N-Acetylleucine	CC(C)CC(C(=O)O)NC(=O)C	WXNXCEHXYPACJF-ZETCQYMHSA-N
N-acetyl-5-methoxykynuramine	COc1ccc(N)c(C(=O)CCNC(C)=O)c1	RJQIZOKNUKRKTP-UHFFFAOYSA-N
N-acetyl-D-glucosaminyldiphosphodolichol	CC(CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)CCOP(=O)(O)OP(=O)(O)OC1C(C(C(C(O1)CO)O)O)NC(=O)C	NSVKTXNITHYTDN-QQFUYBAXSA-N
N-acetyl-D-glucosaminylphosphatidylinositol	CC(=O)N[C@H]1[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)[C@H]2OP(=O)(O)OC[C@@H](COC([*])=O)OC([*])=O)O[C@H](CO)[C@@H](O)[C@@H]1O	PURMXIZHPMUYNW-DDSODLQFSA-N
N-acetyl-D-mannosamine	CC(=O)N[C@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO	MBLBDJOUHNCFQT-WCTZXXKLSA-N
N-acetyl-L-alanine	CC(C(=O)O)NC(=O)C	KTHDTJVBEPMMGL-VKHMYHEASA-N
N-acetyl-L-asparagine	CC(=O)NC(CC(=O)N)C(=O)O	HXFOXFJUNFFYMO-BYPYZUCNSA-N
N-acetyl-L-aspartate	CC(=O)N[C@@H](CC(=O)O)C(=O)O	OTCCIMWXFLJLIA-BYPYZUCNSA-N
N-acetyl-L-cystathionine	CC(=O)NC(CSCCC([NH3+])C(=O)[O-])C(=O)[O-]	QWACVTVBTRSCRL-UHFFFAOYSA-M
N-acetyl-L-cysteine	CC(=O)N[C@@H](CS)C(=O)[O-]	PWKSKIMOESPYIA-BYPYZUCNSA-M
N-acetyl-L-glutamate	CC(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-]	RFMMMVDNIPUKGG-YFKPBYRVSA-L
N-acetyl-L-glutamate 5-semialdehyde	CC(=O)N[C@@H](CCC=O)C(=O)[O-]	BCPSFKBPHHBDAI-LURJTMIESA-M
N-acetyl-L-glutamate-5-phosphate	CC(=O)N[C@@H](CCC(=O)OP(=O)([O-])[O-])C(=O)[O-]	FCVIHFVSXHOPSW-YFKPBYRVSA-K
N-acetyl-LTE4	CCCCCC=CCC=CC=CC=CC(C(CCCC(=O)O)O)SCC(C(=O)O)NC(=O)C	BGGYAYMMFYBWEX-HXDOPMNESA-N
N-acetyl-O-acetylneuraminate	CC(=O)NC1C(CC(OC1C(C(COC(=O)C)O)O)(C(=O)O)O)O	NYWZBRWKDRMPAS-CQYNJFSHSA-N
N-acetyl-S-[2-carboxy-1-(1H-imidazol-4-yl)ethyl]-L-cysteine	CC([O-])=N[C@H](CSC(CC(=O)[O-])c1cnc[nH]1)C(=O)O	ODJTWSKDMRCRTN-VEDVMXKPSA-L
N-acetyl-beta-D-glucosaminylamine	CC(=O)N[C@H]1[C@H](N)O[C@H](CO)[C@@H](O)[C@@H]1O	MCGXOCXFFNKASF-FMDGEEDCSA-N
N-acetyl-serotonin	CC(=O)NCCc1c[nH]c2ccc(O)cc12	MVAWJSIDNICKHF-UHFFFAOYSA-N
N-acetyl-seryl-aspartyl-lysyl-proline	CC(=O)N[C@@H](CO)C(=O)N[C@H](CC(=O)[O-])C(=O)N[C@@H](CCCC[NH3+])C(=O)N1CCC[C@H]1C(=O)[O-]	HJDRXEQUFWLOGJ-XGUBFFRZSA-M
N-acetylgalactosamine		OVRNDRQMDRJTHS-CBQIKETKSA-N
N-acetylgalactosamine-1-phosphate	CC(=O)N[C@H]1C(OP(=O)(O)O)O[C@H](CO)[C@H](O)[C@@H]1O	FZLJPEPAYPUMMR-KEWYIRBNSA-N
N-acetylglucosamine	CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O	OVRNDRQMDRJTHS-RTRLPJTCSA-N
N-acetylglucosamine-1-phosphate	CC(=O)N[C@H]1C(OP(=O)(O)O)O[C@H](CO)[C@@H](O)[C@@H]1O	FZLJPEPAYPUMMR-RTRLPJTCSA-N
N-acetylglucosamine-6-phosphate	CC(=O)N[C@H]1C(O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O	BRGMHAYQAZFZDJ-RTRLPJTCSA-N
N-acetylmannosamine-6-phosphate	CC(=O)N[C@H](C=O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O	QDSLHWJDSQGPEE-WCTZXXKLSA-N
N-acetylmethionine	CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)O	WPRVVBVWIUWLOH-UFYCRDLUSA-N
N-acetylmuramate	CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@H](C)C(=O)O	MNLRQHMNZILYPY-MKFCKLDKSA-N
N-acetylmuramoyl-ala	CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@H](C)C(=O)N[C@H](C)C(=O)O	ICMUIFDBEVJCQA-GQQBCVOHSA-N
N-acetylneuraminate	[H][C@@]1([C@H](O)[C@H](O)CO)O[C@](O)(C(=O)O)C[C@H](O)[C@H]1NC(C)=O	SQVRNKJHWKZAKO-PFQGKNLYSA-N
N-acetylneuraminate-9-phosphate	[H][C@@]1([C@H](O)[C@H](O)COP(=O)(O)O)OC(O)(C(=O)O)C[C@H](O)[C@H]1NC(C)=O	SQMNIXJSBCSNCI-LUWBGTNYSA-N
N-acetylornithine	CC(=O)N[C@@H](CCC[NH3+])C(=O)[O-]	JRLGPAXAGHMNOL-LURJTMIESA-N
N-acetylputrescine	CC(=O)NCCCC[NH3+]	KLZGKIDSEJWEDW-UHFFFAOYSA-O
N-arachidonoylglycine	CCCCCC=CCC=CCC=CCC=CCCCC(=O)NCC(=O)O	YLEARPUNMCCKMP-DOFZRALJSA-N
N-carbamoyl-L-aspartate	NC(=O)N[C@@H](CC(=O)[O-])C(=O)[O-]	HLKXYZVTANABHZ-REOHCLBHSA-L
N-dodecanoylsphing-4-enine	CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO)NC(=O)CCCCCCCCCCC	HXFPPRPLRSPNIB-VARSQMIESA-N
N-formimino-L-glutamate	[NH2+]=CN[C@@H](CCC(=O)[O-])C(=O)[O-]	NRXIKWMTVXPVEF-BYPYZUCNSA-M
N-formyl-GAR	O=CNCC(=O)NC1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O	VDXLUNDMVKSKHO-ZRTZXPPTSA-N
N-formyl-L-glutamate	O=CN[C@@H](CCC(=O)[O-])C(=O)[O-]	ADZLWSMFHHHOBV-BYPYZUCNSA-L
N-hexadecanoylsphing-4-enine	CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO)NC(=O)CCCCCCCCCCCCCCC	YDNKGFDKKRUKPY-TURZORIXSA-N
N-hydroxy-1-aminonaphthalene	ONc1cccc2ccccc12	CWFINLADSFPMHF-UHFFFAOYSA-N
N-methyl-4,6,7-trihydroxy-1,2,3,4-tetrahydroisoquinoline	CN1Cc2cc(O)c(O)cc2C(O)C1	PIJDIPDQQMXWEM-UHFFFAOYSA-N
N-methylethanolamine-phosphate	C[NH2+]CCOP(=O)([O-])[O-]	HZDCAHRLLXEQFY-UHFFFAOYSA-M
N-methylhistamine	Cn1cnc(CCN)c1	FHQDWPCFSJMNCT-UHFFFAOYSA-N
N-methylputrescine	C[NH2+]CCCC[NH3+]	RMIVMBYMDISYFZ-UHFFFAOYSA-P
N-methylsalsolinol	C[C@H]1c2cc(O)c(O)cc2CCN1C	RKMGOUZXGHZLBJ-ZETCQYMHSA-N
N-methylserotonin	CNCCc1c[nH]c2ccc(O)cc12	ASUSBMNYRHGZIG-UHFFFAOYSA-N
N-methyltryptamine	CNCCc1c[nH]c2ccccc12	NCIKQJBVUNUXLW-UHFFFAOYSA-N
N-methyltyramine	C[NH2+]CCc1ccc(O)cc1	AXVZFRBSCNEKPQ-UHFFFAOYSA-O
N-nitrosomethanamine	CNN=O	CIJBKNZDKBKMFU-UHFFFAOYSA-N
N-pantothenoylcysteine	CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)N[C@@H](CS)C(=O)[O-]	QSYCTARXWYLMOF-CBAPKCEASA-M
N-retinylidene-N-retinylethanolamine	CC1=C(/C=C/C(C)=C/C=C/C(C)=C/c2cc(/C=C/C=C(C)/C=C/C3=C(C)CCCC3(C)C)cc[n+]2CCO)C(C)(C)CCC1	WPWFMRDPTDEJJA-FAXVYDRBSA-N
N-tetradecanoylglycylpeptide	CCCCCCCCCCCCCC(=O)NCC(=O)NC([*])C(=O)O	
N-trimethyl-2-aminoethylphosphonate	C[N+](C)(C)CCP(=O)(O)O	VCANKBLUHKRQLL-UHFFFAOYSA-O
N1,N12-diacetylspermine	CC(=O)NCCC[NH2+]CCCC[NH2+]CCCNC(C)=O	NPDTUDWGJMBVEP-UHFFFAOYSA-P
N1,N8-diacetylspermidine	CC(=O)NCCCCNCCCNC(C)=O	BKCVMAZDKFQPHB-UHFFFAOYSA-N
N1-acetylspermidine	CC(=O)NCCC[NH2+]CCCC[NH3+]	MQTAVJHICJWXBR-UHFFFAOYSA-P
N1-acetylspermine	CC(=O)NCCC[NH2+]CCCC[NH2+]CCC[NH3+]	GUNURVWAJRRUAV-UHFFFAOYSA-Q
N1-methyl-2-pyridone-5-carboxamide	Cn1cc(C(N)=O)ccc1=O	JLQSXXWTCJPCBC-UHFFFAOYSA-N
N1-methyl-4-pyridone-5-carboxamide	Cn1ccc(=O)c(C(N)=O)c1	KTLRWTOPTKGYQY-UHFFFAOYSA-N
N4-(acetyl-beta-D-glucosaminyl)asparagine	CC(=O)N[C@H]1[C@H](NC(=O)C[C@H]([NH3+])C(=O)[O-])O[C@H](CO)[C@@H](O)[C@@H]1O	YTTRPBWEMMPYSW-HRRFRDKFSA-N
N4-acetylaminobutanal	CC(=O)NCCCC=O	DDSLGZOYEPKPSJ-UHFFFAOYSA-N
N6,N6,N6-trimethyl-L-lysine	C[N+](C)(C)CCCC[C@H]([NH3+])C(=O)[O-]	MXNRLFUSFKVQSK-QMMMGPOBSA-O
N8-acetylspermidine	CC(=O)NCCCC[NH2+]CCC[NH3+]	FONIWJIDLJEJTL-UHFFFAOYSA-P
NAD+	NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1	BAWFJGJZGIEFAR-NNYOXOHSSA-M
NADH	NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1	BOPGDPNILDQYTO-NNYOXOHSSA-L
NADP+	NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1	XJLXINKUBYWONI-NNYOXOHSSA-K
NADPH	NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1	ACFIXJIJDZMPPO-NNYOXOHSSA-N
NG,NG-dimethyl-L-arginine	CN(C)C(=[NH2+])NCCC[C@H]([NH3+])C(=O)[O-]	YDGMGEXADBMOMJ-LURJTMIESA-O
NH3	[H]N([H])[H]	QGZKDVFQNNGYKY-UHFFFAOYSA-N
NH4+	[NH4+]	QGZKDVFQNNGYKY-UHFFFAOYSA-O
NNAL-N-glucuronide	CN(CCCC(O)c1ccc[n+]([C@@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)c1)N=O	VSVYJUYJFLYYSI-UKOUFMKDSA-N
NO	[N]=O	MWUXSHHQAYIFBG-UHFFFAOYSA-N
Na+	[Na+]	FKNQFGJONOIPTF-UHFFFAOYSA-N
Nordazepam	O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1	AKPLHCDWDRPJGD-UHFFFAOYSA-N
O-1-alk-1-enyl-2-acyl-sn-glycero-3-phosphoethanolamine	[*]C=COC[C@H](COP(=O)(O)OCCN)OC([*])=O	
O-Arachidonoyl Ethanolamine	CCCCCC=CCC=CCC=CCC=CCCCC(=O)OCCN	DLHLOYYQQGSXCC-DOFZRALJSA-N
O-D-mannosylprotein	[*]NC(=O)[C@H](CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O)NC([*])=O	
O-acetylcarnitine	CC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C	RDHQFKQIGNGIED-MRVPVSSYSA-O
O-butanoylcarnitine	CCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C	QWYFHHGCZUCMBN-SECBINFHSA-N
O-methylhippurate	Cc1ccccc1C(=O)NCC(=O)O	YOEBAVRJHRCKRE-UHFFFAOYSA-N
O-phospho-L-homoserine	[NH3+][C@@H](CCOP(=O)([O-])[O-])C(=O)[O-]	FXDNYOANAXWZHG-VKHMYHEASA-L
O-propanoylcarnitine	CCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	UFAHZIUFPNSHSL-UHFFFAOYSA-N
O2	O=O	MYMOFIZGZYHOMD-UHFFFAOYSA-N
O2-	[O][O-]	MXDZWXWHPVATGF-UHFFFAOYSA-N
O2-4a-cyclic-tetrahydrobiopterin	C[C@H]1OC23NC(CN=C2N=C(N)NC3=O)[C@H]1O	JZTDUNXDDUJXRZ-UPYOWCHBSA-N
OAA	O=C([O-])CC(=O)C(=O)[O-]	KHPXUQMNIQBQEV-UHFFFAOYSA-L
Octadecanoyl-ACP (N-C18:0ACP)	CCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])O[*]	
P-Cresol	Cc1ccc(O)cc1	IWDCLRJOBJJRNH-UHFFFAOYSA-N
P1,P4-bis(5-adenosyl)-tetraphosphate	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O	YOAHKNVSNCMZGQ-XPWFQUROSA-N
P1,P4-bis(5-guanosyl)-tetraphosphate	Nc1nc(=O)c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]4O[C@@H](n5cnc6c(=O)nc(N)nc65)[C@H](O)[C@@H]4O)[C@@H](O)[C@H]3O)c2n1	OLGWXCQXRSSQPO-MHARETSRSA-N
PA6	CCCCC(=O)OCC(COP(=O)(O)O)OC=O	JDTMNMAQWVSSOO-MRVPVSSYSA-N
PAP	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O	WHTCPDAXWFLDIH-KQYNXXCUSA-N
PAPS	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OS(=O)(=O)O)[C@@H](OP(=O)(O)O)[C@H]1O	GACDQMDRPRGCTN-KQYNXXCUSA-N
PC-LD pool	C[N+](C)(C)CCOP(=O)(O)OC[C@@H](COC([*])=O)OC([*])=O	
PE-LD pool	[*]C(=O)OCC(COP(=O)(O)OCCN)OC([*])=O	
PE-NME-LD pool	CNCCOP(=O)(O)OCC(COC([*])=O)OC([*])=O	
PEP	C=C(OP(=O)([O-])[O-])C(=O)[O-]	DTBNBXWJWCWCIK-UHFFFAOYSA-K
PGH3	CCC=CCC(C=CC1C2CC(C1CC=CCCCC(=O)O)OO2)O	PVTQTOGPOPGQGE-SAMSIYEGSA-N
PI pool	[*]C(=O)OC[C@H](COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)OC([*])=O	
PNP	O=[N+]([O-])c1ccc(O)cc1	BTJIUGUIPKRLHP-UHFFFAOYSA-N
PPi	O=P([O-])([O-])OP(=O)([O-])O	XPPKVPWEQAFLFU-UHFFFAOYSA-K
PRPP	O=P(O)(O)OC[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]1O	PQGCEDQWHSBAJP-TXICZTDVSA-N
PS-LD pool	[*]C(=O)OCC(COP(=O)(O)OC[C@H](N)C(=O)O)OC([*])=O	
Pectin	[*]O[C@H]1[C@@H](C(=O)O)O[C@H]([*])[C@H](O)[C@H]1O	AEMOLEFTQBMNLQ-DTEWXJGMSA-N
